ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,BZV55C3V6_C545373,"D1,D2",SOD-80_L3.5-W1.5-RD,2,BZV55C3V6,LGE,LCSC,C545373,0.014
2,BC847B-TP,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,BC847B-TP,MCC(Micro Commercial Components),LCSC,C668873,0.036
3,1K,"R9,R10",R0603,2,RMC06031K5%N,Tyohm,LCSC,C269685,0.002
4,47K,"R11,R12",R0603,2,RMC060347K1%N,Tyohm,LCSC,C269715,0.003
5,XA17-G4K,"U1,U2,U3,U4",SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,4,XA17-G4K,XINLUDA,LCSC,C513494,0.095
6,600Ω,"L1,L2",L0805,2,CBW201209U601T,FH,LCSC,C21286,0.005
7,1K,"R1,R6",R0603,2,0603WAJ0102T5E,UniOhm,LCSC,C25585,0.001
8,U.FL-R-SMT-1(80),"ANT1,ANT2,ANT3,ANT4,RX1,RX2,RX3,RX4",RF-SMD_U.FL-R-SMT-1-80,8,U.FL-R-SMT-1(80),HRS,LCSC,C88374,0.082
9,0 ohm,R13,R0603,1,RC0603FR-070RL,YAGEO,LCSC,C100044,0.001
10,100nF,"C4,C7,C8,C9,C10,C11,C12,C13,C1,C2,C3,C5",C0402,12,CC0402KRX7R7BB104,YAGEO,LCSC,C60474,0.001
11,51 ohm,"R2,R3,R4,R5",R0603,4,RMC0603511%N,Tyohm,LCSC,C269718,0.003
12,10uF,C6,C0805,1,CL21A106KOQNNNE,SAMSUNG,LCSC,C1713,0.01
